schema,table_name,purpose,primary_key,date_column,symbol_column,universe_role,authoritative_domain,used_by_rrg,used_by_eod,proposed_research_dependency,notes
extensions,pg_stat_statements,PostgreSQL query execution performance metrics view,NONE,N/A,N/A,SYSTEM,Database Diagnostics,NO,NO,NONE,Postgres internal extension view
extensions,pg_stat_statements_info,PostgreSQL query statistics metadata view,NONE,N/A,N/A,SYSTEM,Database Diagnostics,NO,NO,NONE,Postgres internal extension view
public,current_index_members,View joining index_membership and instruments to present current constituent stock lists with weights,NONE (VIEW),effective_date,"index_symbol, stock_symbol",INDEX_MEMBERSHIP_VIEW,Universe / Index Constituents,YES,YES,FK target / lookup for Stock-to-Index research mapping,Convenience view over index_membership & instruments
public,daily_indicators,"Daily technical indicator values (RSI_14, ATR_14, ADX_14, SMA_20/50/200, EMA_20/50/200)","instrument_id, date",date,instrument_id,QUANTITATIVE_INDICATORS,Daily Technical Indicators,NO,YES,Read-only quantitative input for research signals & daily wrap,Contains pre-calculated daily TA indicators for Nifty 500 stocks
public,daily_price_indicators,View combining daily_prices and daily_indicators with instrument symbol and name,NONE (VIEW),date,"symbol, instrument_id",QUANTITATIVE_COMBINED_VIEW,Daily Price & Indicator Analytics,NO,YES,Primary read-only analytics view for research report generation,Simplifies daily query joins for EOD briefs
public,daily_prices,Authoritative daily OHLCV price series for all tracked instruments,"instrument_id, date",date,instrument_id,QUANTITATIVE_PRICES,Daily Market Prices (OHLCV),YES,YES,Primary price reference for research valuation & performance context,Daily stock & index price database
public,data_coverage_log,Pipeline data load execution & validation audit log,"trade_date, stage","trade_date, logged_at",NONE,PIPELINE_AUDIT,Data Pipeline Governance,NO,NO,Read-only pipeline health verification,Tracks pipeline ingestion completeness by stage
public,fii_dii_cash_market_daily,"Institutional investor flow data (FII & DII daily buy, sell, net values in INR Cr)",date,date,NONE,MACRO_FLOWS,Institutional Flow Data,NO,YES,Read-only source for EOD macro/institutional commentary,Daily FII/DII net equity activity
public,index_breadth,"Index-level market breadth metrics (advances, declines, unchanged, % > 20/50/200 DMA)","index_name, date",date,index_name,MARKET_BREADTH,Market Breadth Analytics,NO,YES,Read-only input for EOD Market Pulse & Regime assessment,"Covers Nifty 500, Nifty 50, Midcap, Smallcap breadth"
public,index_membership,Join table mapping stock instruments to index instruments with weights and effective dates,id,"effective_date, created_at","index_instrument_id, stock_instrument_id",UNIVERSE_MEMBERSHIP,Index Composition Master,YES,YES,Canonical source for Stock-to-Sector and Stock-to-Index mapping,Relational composition of indices
